<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.11.15	23:00:00	1.27802	1.27813	1.27767	1.27775	429	0	12
2012.11.15	23:30:00	1.27775	1.27837	1.27768	1.27801	376	0	12
2012.11.16	00:00:00	1.27801	1.27819	1.27792	1.27816	378	0	12
2012.11.16	00:30:00	1.27817	1.27835	1.27777	1.27810	491	0	12
2012.11.16	01:00:00	1.27809	1.27837	1.27764	1.27837	628	0	12
2012.11.16	01:30:00	1.27833	1.27834	1.27686	1.27736	780	0	12
2012.11.16	02:00:00	1.27738	1.27769	1.27726	1.27736	650	0	12
2012.11.16	02:30:00	1.27737	1.27768	1.27706	1.27734	635	0	12
2012.11.16	03:00:00	1.27738	1.27762	1.27706	1.27713	589	0	12
2012.11.16	03:30:00	1.27714	1.27729	1.27673	1.27695	621	0	12
2012.11.16	04:00:00	1.27694	1.27740	1.27641	1.27730	909	0	12
2012.11.16	04:30:00	1.27729	1.27771	1.27724	1.27724	578	0	12
2012.11.16	05:00:00	1.27724	1.27736	1.27677	1.27715	531	0	12
2012.11.16	05:30:00	1.27714	1.27715	1.27687	1.27702	517	0	12
2012.11.16	06:00:00	1.27700	1.27770	1.27675	1.27707	660	0	6
2012.11.16	06:30:00	1.27708	1.27730	1.27674	1.27678	641	0	6
2012.11.16	07:00:00	1.27680	1.27731	1.27656	1.27677	763	0	10
2012.11.16	07:30:00	1.27678	1.27690	1.27558	1.27573	1058	0	6
2012.11.16	08:00:00	1.27574	1.27575	1.27463	1.27546	1616	0	8
2012.11.16	08:30:00	1.27545	1.27627	1.27529	1.27562	1448	0	9
2012.11.16	09:00:00	1.27564	1.27595	1.27436	1.27466	1968	0	9
2012.11.16	09:30:00	1.27466	1.27578	1.27426	1.27499	1742	0	10
2012.11.16	10:00:00	1.27505	1.27509	1.27322	1.27326	1813	0	9
2012.11.16	10:30:00	1.27327	1.27366	1.27256	1.27328	1820	0	10
2012.11.16	11:00:00	1.27327	1.27367	1.27236	1.27351	1760	0	8
2012.11.16	11:30:00	1.27350	1.27408	1.27297	1.27319	1622	0	9
2012.11.16	12:00:00	1.27319	1.27405	1.27274	1.27363	1461	0	8
2012.11.16	12:30:00	1.27365	1.27372	1.27274	1.27358	1291	0	10
2012.11.16	13:00:00	1.27358	1.27371	1.27306	1.27344	1417	0	8
2012.11.16	13:30:00	1.27345	1.27454	1.27324	1.27427	1496	0	9
2012.11.16	14:00:00	1.27425	1.27526	1.27404	1.27491	1892	0	9
2012.11.16	14:30:00	1.27491	1.27528	1.27365	1.27367	1586	0	10
2012.11.16	15:00:00	1.27368	1.27459	1.27368	1.27385	1642	0	10
2012.11.16	15:30:00	1.27384	1.27417	1.27276	1.27305	2080	0	10
2012.11.16	16:00:00	1.27303	1.27327	1.26905	1.26980	2850	0	8
2012.11.16	16:30:00	1.26981	1.27065	1.26949	1.27048	2229	0	8
2012.11.16	17:00:00	1.27049	1.27129	1.26938	1.26960	2161	0	8
2012.11.16	17:30:00	1.26960	1.27159	1.26959	1.27138	2222	0	10
2012.11.16	18:00:00	1.27140	1.27195	1.27104	1.27136	1783	0	10
2012.11.16	18:30:00	1.27134	1.27298	1.27127	1.27221	1623	0	6
2012.11.16	19:00:00	1.27220	1.27360	1.27189	1.27316	1145	0	10
2012.11.16	19:30:00	1.27315	1.27333	1.27237	1.27291	1091	0	8
2012.11.16	20:00:00	1.27290	1.27296	1.27197	1.27214	1276	0	12
